x;n_code;n_scaps;p_code;p_scaps
0.00e+00;1.18e+11;1.20e+11;5.02e+15;5.00e+15
0.01;2.03e+11;205899712817.66;5.00e+15;4.98e+15
0.02;2.76e+11;279228262153.599;4.98e+15;4.97e+15
0.03;3.37e+11;341141112903.306;4.96e+15;4.95e+15
0.04;3.88e+11;392154869871.555;4.93e+15;4.93e+15
0.05;4.29e+11;434403834541.485;4.91e+15;4.90e+15
0.06;4.62e+11;466522610251.365;4.88e+15;4.88e+15
0.07;4.86e+11;491030194135.571;4.85e+15;4.85e+15
0.08;5.03e+11;508483259674.947;4.81e+15;4.81e+15
0.09;5.14e+11;519709055928.167;4.76e+15;4.77e+15
0.1;5.19e+11;524500517095.296;4.71e+15;4.72e+15
0.11;5.19e+11;523650062819.249;4.65e+15;4.66e+15
0.12;5.14e+11;518972154766.654;4.58e+15;4.60e+15
0.13;5.06e+11;510861377917.443;4.50e+15;4.52e+15
0.14;4.94e+11;497832023841.807;4.40e+15;4.43e+15
0.15;4.79e+11;483337829655.936;4.28e+15;4.32e+15
0.16;4.62e+11;465712629137.455;4.15e+15;4.19e+15
0.17;4.43e+11;446620609427.529;4.00e+15;4.05e+15
0.18;4.23e+11;426284833915.226;3.83e+15;3.89e+15
0.19;4.02e+11;404742523666.116;3.63e+15;3.69e+15
0.2;3.80e+11;383085811206.708;3.41e+15;3.49e+15
0.21;3.58e+11;360940522050.037;3.17e+15;3.25e+15
0.22;3.37e+11;339266087102.29;2.91e+15;3.01e+15
0.23;3.16e+11;317945689131.544;2.63e+15;2.73e+15
0.24;2.96e+11;297381218428.036;2.34e+15;2.45e+15
0.25;2.77e+11;277826437638.718;2.04e+15;2.15e+15
0.26;2.58e+11;259234787616.798;1.75e+15;1.85e+15
0.27;2.42e+11;241917129536.687;1.46e+15;1.57e+15
0.28;2.26e+11;225818693527.183;1.19e+15;1.29e+15
0.29;2.11e+11;210857096520.075;9.45e+14;1.05e+15
0.3;1.98e+11;197401149838.26;7.30e+14;8.05e+14
0.31;1.86e+11;184803900843.61;5.47e+14;6.21e+14
0.32;1.75e+11;173720837250.419;3.97e+14;4.50e+14
0.33;1.65e+11;163382214607.1;2.79e+14;3.24e+14
0.34;1.56e+11;154214528777.123;1.90e+14;2.22e+14
0.35;1.48e+11;145796407027.662;1.25e+14;1.49e+14
0.36;1.40e+11;138198296302.935;7.93e+13;95926610763659.7
0.37;1.33e+11;131313512830.271;4.87e+13;59748418886511.3
0.38;1.27e+11;124991312072.449;2.89e+13;36167906642040.2
0.39;1.21e+11;119291287199.671;1.66e+13;20966419911794.3
0.4;1.16e+11;113996877673.127;9.18e+12;11870562169545.6
0.41;1.11e+11;109203999985.808;4.92e+12;6424228187614.76
0.42;1.07e+11;104733074678.571;2.55e+12;3395886413615.11
0.43;1.03e+11;100639080107.824;1.28e+12;1725684681238.51
0.44;98752190000.00;96828704084.8748;6.24e+11;855034838796.904
0.45;95179760000.00;93280893643.5615;2.98e+11;413133432322.758
0.46;91845340000.00;90002781844.1049;1.41e+11;196689844402.593
0.47;88726160000.00;86901675462.6181;67610520000.00;93562656740.9481
0.48;85802250000.00;84041112032.0616;34280380000.00;46494050581.6358
0.49;83056030000.00;81341964217.0162;19295840000.00;25071745311.2795
0.5;80472020000.00;78795376507.5928;12474290000.00;14840002782.8652
0.51;78036500000.00;76406114446.2825;9190597000.00;10234327097.6093
0.52;75737350000.00;74157128297.9273;7420732000.00;7940907887.77889
0.53;73563970000.00;72029214562.4428;6308177000.00;6566045871.92003
0.54;71507620000.00;70017520879.5714;5499807000.00;5639436805.02499
0.55;69562780000.00;68120822280.5026;4851497000.00;4934579193.7824
0.56;67732460000.00;66374734752.8054;4303060000.00;4358311917.98344
0.57;66046950000.00;64857521020.3625;3827236000.00;3863631632.24141
0.58;64632690000.00;63934948916.6211;3409645000.00;3433286896.46232
0.59;63971380000.00;64878730987.4344;3041154000.00;3055962460.96817
0.6;65906600000.00;62367610800.0002;2715021000.00;2890418090.00001
0.61;67953310000.00;64280194603.7928;2525785000.00;2538254307.09329
0.62;70123570000.00;66315399812.6349;2379591000.00;2349609250.98769
0.63;72432270000.00;68483696993.8867;2251279000.00;2211134457.72328
0.64;74899930000.00;70802655098.7278;2133612000.00;2092558809.9621
0.65;77560100000.00;73288625730.1897;2024203000.00;1984567378.46182
0.66;80478620000.00;76009782407.9162;1922040000.00;1884709668.14433
0.67;83802450000.00;79058962491.8171;1826529000.00;1791411796.75721
0.68;87879590000.00;82682914848.356;1737220000.00;1704071714.66583
